Sample	tSNE1	tSNE2
Array.129	1.7493819	-0.39037266
Array.34	0.09064295	-0.58877707
Array.67	-0.57196254	-1.4587958
Array.24	-1.9641148	-2.0152764
Array.22	-0.8164076	0.4483112
Array.36	-0.19224614	-0.6418506
Array.49	-1.3438213	1.2180791
Array.16	0.7887001	-0.5376778
Array.146	-0.31918782	-0.022409698
Array.143	-0.2266607	2.0481334
Array.65	-1.8288518	0.41289884
Array.62	1.2216932	3.2139764
Array.4	-0.34386703	-1.9104068
Array.76	-1.2128944	-0.90619016
Array.118	0.78630805	2.3467963
Array.154	1.2437577	3.3582046
Array.48	-1.9283229	1.9175886
Array.6	-0.44133565	-0.15770358
Array.39	-0.40897697	0.29070985
Array.86	-0.85114187	-0.6234874
Array.112	-0.84544075	-1.5883039
Array.79	-1.579297	0.3795843
Array.124	0.99438256	3.421991
Array.19	-1.2486341	-0.45451096
Array.27	-0.44480112	0.24056709
Array.106	-0.8483502	1.9595096
Array.110	-0.55566764	0.94624686
Array.69	-2.3546808	1.3224047
Array.73	-0.39449576	0.46726465
Array.95	1.4488282	1.9623526
Array.98	1.6966466	1.5719503
Array.17	0.62630516	0.20379022
Array.33	1.1701715	0.53486913
Array.138	1.5472186	0.022696512
Array.149	-2.2418985	1.5904292
Array.101	1.6027224	2.3309572
Array.90	-1.7177013	-0.5961669
Array.99	0.06596002	0.0988895
Array.57	0.57579786	0.9704429
Array.105	0.053570624	1.2819227
Array.85	-0.36845717	-0.9764918
Array.114	-1.0528798	-1.8223858
Array.56	-2.4836652	0.035911456
Array.5	-1.747614	-1.4034964
Array.8	-1.6388414	1.4220468
Array.113	-0.5273713	-2.576146
Array.148	-0.8594855	2.6473725
Array.42	1.800277	0.6561628
Array.25	0.85414976	-1.314593
Array.102	-1.250575	0.73924303
Array.55	0.67861897	-2.3057225
Array.141	-0.40592015	0.20895946
Array.43	0.14800245	-0.73877966
Array.159	-2.344966	-1.0629197
Array.52	-2.427849	0.6648412
Array.88	0.5843481	-2.1274166
Array.125	-0.30232427	0.06712017
Array.152	1.2239791	-0.7094825
Array.50	1.2300022	3.0252905
Array.23	-0.42615646	1.4654126
Array.68	-0.8680968	0.12153629
Array.94	0.10901799	0.57220894
Array.153	-2.4528694	-1.1520199
Array.51	1.2472732	3.3398342
Array.142	0.7479614	1.3547299
Array.144	0.1610818	0.052563965
Array.37	-0.32277116	-0.005913484
Array.78	-0.86446273	0.82339555
Array.18	-1.0890824	-0.41025528
Array.82	-0.034656692	2.1623042
Array.75	-0.99054754	-2.0519805
Array.139	-1.0648166	1.0309706
Array.2	-2.783054	-0.15983696
Array.117	-0.44903496	-0.21537732
Array.60	-0.65296257	0.10249726
Array.38	-0.34454083	-1.3783858
Array.72	-0.370175	1.3442909
Array.104	-0.30140534	0.030548654
Array.137	-0.5445208	-0.30563575
Array.145	1.5828915	-1.3184584
Array.31	1.3115002	3.090281
Array.135	1.1512655	2.7354317
Array.111	1.2298977	2.9948988
Array.7	-1.9936639	-0.548651
Array.21	0.34817713	1.7613393
Array.53	0.40862563	-1.1733519
Array.59	0.05131697	-1.4015691
Array.71	0.70231324	-0.34347773
Array.47	-0.9139663	-1.1524584
Array.107	-1.0411811	-0.5838965
Array.64	0.6982629	0.14680208
Array.89	-0.29560643	0.32580876
Array.30	0.96436304	2.5986989
Array.35	-0.28183538	0.0545088
Array.93	1.1229107	1.6743704
Array.10	-1.5299459	-0.056945708
Array.123	-1.664776	1.0561724
Array.100	-0.3104324	0.038181618
Array.134	-1.4834193	1.9631329
Array.130	0.13315026	0.6665618
