Sample	tSNE1	tSNE2
Array.129	-21.199453	54.92554
Array.34	27.466085	-4.5216107
Array.67	27.896755	30.908436
Array.24	9.083118	32.730972
Array.22	-7.831704	10.875539
Array.36	19.497747	2.9614487
Array.49	7.81707	-48.156857
Array.16	-21.692911	37.373753
Array.146	9.696951	14.0369625
Array.143	-28.674002	-23.378057
Array.65	14.479217	-6.123008
Array.62	-72.941284	-35.442566
Array.4	-0.79168516	34.626724
Array.76	42.7446	14.392168
Array.118	-57.992985	-16.864517
Array.154	-69.332825	-22.08298
Array.48	-42.63253	12.043419
Array.6	-3.9264905	19.308916
Array.39	-9.97165	3.6448686
Array.86	36.486366	23.59566
Array.112	29.51759	39.83578
Array.79	31.822748	-44.713352
Array.124	-52.57535	-26.080479
Array.19	6.1803603	44.758163
Array.27	-1.87075	5.9594264
Array.106	-0.17981671	-34.28667
Array.110	2.2087154	-26.540165
Array.69	18.492672	-36.46211
Array.73	3.9937222	-9.521215
Array.95	-40.439434	-41.71649
Array.98	-32.86296	-48.281128
Array.17	-28.378994	13.690322
Array.33	-21.125923	23.742231
Array.138	-32.528522	26.24429
Array.149	29.52669	-27.419216
Array.101	-46.751038	-41.23122
Array.90	9.643294	50.83346
Array.99	-12.770744	18.93177
Array.57	-10.211378	-45.778816
Array.105	-32.50953	-14.556086
Array.85	24.334633	19.94316
Array.114	38.172565	35.739414
Array.56	52.815643	-6.7584147
Array.5	-5.3017564	54.385975
Array.8	19.824188	-24.458235
Array.113	37.403664	53.85903
Array.148	-20.870428	-12.000853
Array.42	0.819646	-17.507719
Array.25	-9.518855	41.73778
Array.102	21.71992	-13.728554
Array.55	36.788643	0.43900803
Array.141	2.5283902	-1.6268896
Array.43	9.47376	23.266592
Array.159	59.81638	29.708605
Array.52	45.292156	-14.890894
Array.88	30.917612	6.13946
Array.125	0.17121816	12.389479
Array.152	-34.60471	43.95158
Array.50	-57.354366	-32.67271
Array.23	-9.25197	-15.337872
Array.68	19.187273	11.04466
Array.94	-5.2672434	-7.092206
Array.153	44.031292	25.882233
Array.51	-71.10784	-27.36658
Array.142	-33.82086	-3.0735316
Array.144	-17.012209	10.398106
Array.37	11.232217	8.039448
Array.78	11.056022	-15.669661
Array.18	-23.10211	2.7474048
Array.82	-22.497124	-35.69589
Array.75	46.242176	42.328094
Array.139	13.572249	-28.891619
Array.2	61.35403	1.9916122
Array.117	15.50322	17.837343
Array.60	10.51281	-0.11877639
Array.38	30.538157	16.71471
Array.72	-16.258862	-19.731798
Array.104	5.206015	10.510511
Array.137	0.040924467	26.209187
Array.145	-10.789223	29.251713
Array.31	-67.02513	-46.205063
Array.135	-60.18749	-42.411922
Array.111	-63.14946	-29.82104
Array.7	56.337685	18.310457
Array.21	-39.5754	-18.197418
Array.53	6.858769	67.13193
Array.59	17.162607	26.896338
Array.71	47.206837	-31.007765
Array.47	17.73931	38.90934
Array.107	46.53734	6.869506
Array.64	-46.366146	28.612629
Array.89	-4.1924877	0.47169843
Array.30	-63.811974	-37.72433
Array.35	5.6935334	4.6137185
Array.93	-48.45594	-4.6965117
Array.10	22.589418	57.19292
Array.123	31.873514	-18.265347
Array.100	4.3341656	16.461914
Array.134	-12.45715	-27.306194
Array.130	-14.92711	-3.8415885
