Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Array.129	-1.1268517034152994	-3.925532616386455	1.2310899641189408	-7.234776146597577	-11.107541477105926	11.55896803909182	12.645837862814586	-3.4258888068588362	-3.4576088072946662	10.368817879554083
Array.34	-5.786400570965676	5.423905655418617	4.7191665112785435	8.236108257879163	3.2400897857576756	3.9701761904475603	3.6249025973932105	-0.47422939446156553	0.07537949675124125	-1.8382498818257185
Array.67	-13.52441930794048	-9.328313252756278	5.783260951973687	3.6463964368039337	12.204119926865031	5.501603442518533	-4.48727347962331	-1.387003872833867	0.6540392893001956	-7.203038426282037
Array.24	-15.720061397516849	9.24489810555516	8.458092684995991	8.850705161972472	-2.521810320639944	-1.6138034168512765	-17.415000792437343	5.760608924579311	0.07684141149264134	3.894698099873389
Array.22	-3.012961353867616	-1.2595647708586202	-6.046708944507121	1.141299898955503	8.568543121508583	-7.2826173570495865	-4.169825873154279	9.606944694313166	-1.873495654694252	-5.530339231998385
Array.36	-8.892612570436304	-9.482826507162844	-3.3819918919199874	-2.3957090892851394	-3.723971828718325	-2.2600761849034288	-0.16481530568944583	-1.328253130053049	-0.026688810193701815	3.0091689328082447
Array.49	-3.1836206177856385	13.8010089455985	0.9694141405076006	-7.7333117900114505	7.370773445295153	-15.521735096090728	4.22620581876619	0.7645591729515678	3.615371921738714	-4.679217558950901
Array.16	-7.6248480804176335	-0.0857697577603137	5.098248189613445	-6.867094085670913	7.918363940191877	-0.39212375873665534	3.6389726141416725	-2.0150169561929503	1.7781646596029514	-2.790911800477643
Array.146	-1.9862623152031365	-7.215729417703531	-2.9624352352768932	5.221348917046852	-1.572658064534576	-0.1588238923858153	0.9786034252159029	-2.1593473276395176	-1.0708686375814267	-1.5092503887413606
Array.143	12.02033055954423	6.044510573676848	7.763083052684408	-0.7597114627751448	-10.351815587178008	4.905575406809298	7.229024106344447	3.096113830579001	13.248274868062252	-11.933615590955215
Array.65	-5.954100293752369	7.0306719239266355	-18.499094830612826	-1.706989777509999	5.791238632170303	9.402762394479844	0.9496399213513422	5.185574608649442	-0.35850453457399845	5.234514935657332
Array.62	32.261882352313535	7.189912101050518	5.361847062100252	4.186438316674855	3.8678789602207218	-4.336753702262646	-4.689319669943385	7.376210907369368	-7.773052453846068	1.983065428615741
Array.4	-17.307075113919325	-8.626781925862682	11.401284783047847	0.5891159623664182	1.5130588607926267	-6.462351823355853	11.273613776100444	-4.536494955152256	-2.4289084501585565	-2.696223941351271
Array.76	-13.407114534793157	-3.4285847784017203	2.146293069085655	-6.285686731997593	-6.007206917217244	6.111450654899054	2.964730282376209	4.9229645928274	0.724715198288648	3.396018654476059
Array.118	16.241782306343296	-3.928780066885292	3.7038317624346715	2.2152470097970016	2.592807707908777	0.5176233308616285	1.7767984649609758	8.190482680140793	1.2637604407900511	2.3550372523545056
Array.154	30.713069434767064	6.864395463122905	3.394861103931408	7.249740372864115	-5.838395270609549	5.661521965758843	-0.18390508329887598	1.3526325633948697	-5.581270782335469	-7.468054335857436
Array.48	-2.1000900610287925	16.90852710207345	-3.6687277669167777	5.50405961539855	-3.438527693610857	-3.7234852198398536	11.707437611496378	5.040671244223736	-8.553388462240376	12.848134813668246
Array.6	-3.454425916138324	-7.072925850318291	-2.1850117819724284	1.8381353627663435	-3.1649932551411037	1.1185452313550062	0.4286226031035266	4.014423681677046	-4.31090444987646	0.4237217674177704
Array.39	-0.9421764473561385	-5.746546237568773	-6.123220547733944	3.8864291510893514	1.1562115564704671	-4.464921869303394	0.5070668826352724	0.6405601861504111	1.5771465074339395	-4.182921645408522
Array.86	-8.324371654931083	-6.486500197715685	-3.3734178008507913	1.8254751012747814	-2.17945369960524	8.195990194956241	-6.172663780436472	0.14712927845644433	-2.439509192231039	-2.731168419785576
Array.112	-10.126692617472564	-9.639339942917344	5.840562783485666	-3.1001854369090704	12.657653314638267	2.180555001325462	-3.674688658860622	-5.457174817219159	-4.141803948049347	1.1597595571081325
Array.79	-3.3723312989004883	1.5287970344604411	-10.140113502790085	-2.7607766557189217	-10.672455237563288	5.090723916354971	-0.3878303709519261	-2.83062585221067	-1.8888985749846665	-1.673568449171757
Array.124	27.457036270534022	14.115484652447716	-1.2723776386377323	5.419465413336949	-9.37840391196981	0.1263771135463709	4.712109866970375	-1.8744631920541748	-1.9806812416225634	4.829893742437311
Array.19	-6.600479387894465	-2.9121175160053836	5.805315704501577	-7.86985818838581	-3.326730903321386	1.458352720806229	0.5243445185082607	-0.9752828925853964	0.06026618807119145	-3.920275836532772
Array.27	-1.5419124511336788	-5.740756756388114	-7.047059244044044	1.9173974185422717	0.988161176490671	-4.24062163243848	-1.2485750395415287	1.3672305461251268	0.8631980972835919	-1.0032369628239441
Array.106	9.761957438584119	7.554876192115558	-1.8040128804259479	-14.52381439830886	12.352413462539007	7.783657325210226	9.932419268598716	2.015121743403849	2.3769133290426856	-11.34513268954617
