,HER2+,HR+,Triple Neg,importance
chr1:2927-372295,0.0,0.0,0.0,0.0
chr1:471671-1590570,0.0,0.0,0.0,0.0
chr1:1676445-1703748,0.0,0.0,0.0,0.0
chr1:1738295-2580342,0.0,0.0,0.0,0.0
chr1:2611444-2645074,0.0,0.0,0.0,0.0
chr1:2664285-2665530,0.0,0.0,0.0,0.0
chr1:2672694-2856899,0.0,0.0,0.0,0.0
chr1:2870100-2901629,0.0,0.0,0.0,0.0
chr1:2903052-3112977,0.0,0.0,0.0,0.0
chr1:3125822-3137481,0.0,0.0,0.0,0.0
chr1:3149648-3157982,0.0,0.0,0.0,0.0
chr1:3166706-16531740,0.0,0.0,0.0,0.0
chr1:16551324-16997273,0.0,0.0,0.0,0.0
chr1:17030134-22668805,0.0,0.0,0.0,0.0
chr1:22674759-25318800,0.0,0.0,0.0,0.0
chr1:25354765-34166798,0.0,0.0,0.0,0.0
chr1:34172947-37578554,0.0,0.0,0.0,0.0
chr1:37599215-72473289,0.0,0.0,0.0,0.0
chr1:72489681-72620747,0.0016121643987069,0.0,0.0,0.0016121643987069
chr1:72661597-109968401,0.0,-0.02858989632182816,0.0,0.02858989632182816
chr1:109987805-120232261,0.0,0.0,0.0,0.0
chr1:120313797-120737345,0.0,0.0,0.0,0.0
chr1:120761983-120923696,0.0,0.0,0.0,0.0
chr1:141474904-145716245,0.0,0.0,0.0,0.0
chr1:145820605-146634734,0.0,0.0,0.0,0.0
chr1:146661770-149362629,0.0,0.0,0.0,0.0
chr1:149369522-149394958,0.0,0.0,-0.09968612866877986,0.09968612866877986
chr1:149403519-149573806,0.0,0.0,0.0,0.0
chr1:149579637-149598429,0.0,0.0,0.0,0.0
chr1:149604744-158365270,0.0,0.0,0.0,0.0
chr1:158378189-186274119,0.0,0.0,0.0,0.0
chr1:186293872-193443252,0.0,0.0,0.0,0.0
chr1:193480150-193527058,0.0,0.0,0.0,0.0
chr1:193556792-199054142,0.0,0.0,0.0,0.0
chr1:199087690-199111062,0.0,0.0,0.0,0.0
chr1:199135441-244676774,0.0,0.0,0.0,0.0
chr1:244693374-245014643,0.0,0.0,0.0,0.0
chr1:245054641-245121447,0.0,0.0,0.0,0.0
chr1:245134410-245433846,0.0,0.0,0.0,0.0
chr2:712-125634,0.0,0.0,0.0,0.0
chr2:143031-8963807,0.0,0.0,0.0,0.0
chr2:8972669-89953713,0.0,0.0,0.0,0.0
chr2:91057159-91321476,0.0,0.0,0.0,0.0
chr2:91494116-130410215,0.0,0.0,0.0,0.0
chr2:130427665-130453073,0.0,0.0,0.0,0.0
chr2:130458581-131785093,0.0,0.0,0.0,0.0
chr2:131792734-131931782,0.0,0.0,0.0,0.0
chr2:131945577-132196569,0.0,0.0,0.0,0.0
chr2:132210961-132323628,0.0,0.0,0.0,0.0
chr2:132327604-132947789,0.0,0.0,0.0,0.0
chr2:132974227-231853847,0.0,0.0,0.0,0.0
chr2:231862922-242784096,0.0,0.0,0.0,0.0
chr3:39066-478718,0.0,0.0,0.0,0.0
chr3:515536-574415,0.0,0.0,0.0,0.0
chr3:586636-75535753,0.0,0.0,0.0,0.0
chr3:75546791-75799957,0.0,0.0,0.0,0.0
chr3:75845446-90391698,0.0,0.0,0.0,0.0
chr3:95043863-126884366,-0.01845985054508473,0.0,0.006889498592584242,0.025349349137668974
