,HER2+,HR+,Triple Neg,importance
chr17:35076296-35282086,1.9093522502110685,-0.7808463000629096,-0.7301658680990541,3.4203644183730324
chr22:37683612-37705310,0.08217039743954922,-0.6614397155903965,0.18100824250298744,0.9246183555329331
chr16:28087-14817706,-0.010899049309870294,0.6583880265269518,-0.24924184125506701,0.9185289170918891
chr3:196908262-196937230,-0.13820638013470227,-0.11181856841137704,0.6483417948482626,0.8983667433943419
chr5:69274433-96603723,0.0,0.4709868490440259,-0.3832609387952573,0.8542477878392831
chr1:193480150-193527058,0.0,0.2899407736678357,-0.5264463818373515,0.8163871555051871
chr17:41011530-41494331,-0.5944402011761658,0.20129710415877744,0.0,0.7957373053349432
chr12:67337260-132389367,0.0,0.2887153234487188,-0.48501501127728985,0.7737303347260087
chr16:68838368-69397102,0.0,-0.3435368261621074,0.3997060865520964,0.7432429127142037
chr12:36739877-67332062,0.0,0.40423059493136,-0.32810272459068324,0.7323333195220432
chr6:92035339-170943103,0.22175961523918597,-0.500230941727551,0.0,0.721990556966737
chr1:199087690-199111062,0.0,-0.40039838252061893,0.30929906621158443,0.7096974487322034
chr17:77442683-77503685,-0.10285664302170258,0.5526942626914585,-0.05235523797297287,0.707906143686134
chr6:32732764-32738443,0.0,-0.25735400599568653,0.4175428473657196,0.6748968533614061
chr1:149369522-149394958,0.0,0.31628884074036484,-0.3221990113286155,0.6384878520689803
chr18:4316-76110964,0.0,0.4888310072595245,-0.1027341661606737,0.5915651734201982
chr10:115544-38563575,0.0,-0.33519247231403265,0.23331412723162095,0.5685065995456536
chr23:1672003-1706462,-0.3468848591380336,0.14513507872012552,0.0,0.4920199378581591
chr17:42161364-42873571,-0.4340268953438271,0.05348023025820083,0.0,0.4875071256020279
chr12:9528590-9585156,0.0,0.2221414667012921,-0.2450651460089764,0.4672066127102685
chr15:22163893-32511475,0.0,0.1693122522304903,-0.28991921682041655,0.45923146905090684
chr11:5742476-5762182,0.0,0.10652103569517518,-0.3522508854858582,0.4587719211810334
chr6:32766023-91964331,0.0,-0.37135366382503054,0.07862854800362012,0.44998221182865067
chr16:45058242-54336421,0.0,-0.08988754541441311,0.3480572833723481,0.4379448287867612
chr23:3229-45135,0.0,-0.3145877966749276,0.1163204501441345,0.4309082468190621
chr8:166452-6907624,-0.17002220802695936,0.0,0.2503355493403087,0.4203577573672681
chr1:17030134-22668805,0.0,0.2327410460883888,-0.1816555343955959,0.4143965804839847
chr16:68710277-68751390,0.0,-0.250560188641199,0.15397515216733743,0.4045353408085364
chr17:77535412-78653545,0.0,-0.16923419267592765,0.23082299285533484,0.40005718553126246
chr11:89400624-134432265,0.0,-0.2530454974196466,0.08557904825952699,0.3386245456791736
chr1:120313797-120737345,-0.2319734295084331,0.0,0.10181560289285621,0.3337890324012893
chr14:105602756-105630089,0.0,0.0901275410880937,-0.2384352294774073,0.328562770565501
chr22:22725750-24228038,0.0,-0.2067386188466396,0.09169881128475404,0.2984374301313937
chr14:73071404-73092018,0.2398289733348388,-0.053074814271715835,0.0,0.2929037876065546
chr3:75546791-75799957,0.0,0.12287333359503261,-0.16724421710811108,0.2901175507031437
chr1:1676445-1703748,0.0,-0.05616244647648757,0.2286262031282846,0.2847886496047722
chr5:49619946-68850823,0.0,0.0811258336823793,-0.19621858918012047,0.2773444228624998
chr17:2361350-18868037,-0.06220864330654437,0.0,0.20827218382280555,0.2704808271293499
chr3:95043863-126884366,-0.12700384717206523,0.0,0.1431650735718981,0.2701689207439633
chr14:22022060-73047267,0.0,0.03459258374669908,-0.23322941519026913,0.26782199893696823
chr5:96637773-180644810,0.0,0.0009541527440129121,-0.2576142109753543,0.2585683637193672
chr17:35444422-40926154,-0.21414450676648097,0.042138585349441225,0.0,0.2562830921159222
chr1:16551324-16997273,-0.11852248847450571,0.1314985324801543,0.0,0.25002102095466
chr8:28208003-35676140,0.0,0.23749611374013002,0.0,0.23749611374013002
chr21:9896630-10198129,0.217156818495113,-0.011062127645668928,0.0,0.22821894614078195
chr20:29306447-40052114,0.0,0.13412852307819362,-0.0938574605622553,0.22798598364044892
chr17:1542118-1560766,-0.1775388085534987,0.0,0.04991046881781395,0.22744927737131265
chr8:63810-90816,-0.09702989010867356,0.0,0.12271962462954417,0.21974951473821774
chr1:72489681-72620747,0.1382655541693734,0.0,-0.07177340178702725,0.21003895595640065
chr23:91234699-91344716,0.05688206551352438,0.0,-0.15161853398739075,0.20850059950091512
