feature,importance
chr17:35076296-35282086,1.1927559559827563
chr17:41011530-41494331,0.3077765069742958
chr12:36739877-67332062,0.30343297223946597
chr16:68838368-69397102,0.284870889153923
chr12:67337260-132389367,0.27155798701486256
chr6:32732764-32738443,0.2502483564263929
chr5:96637773-180644810,0.23070965774455182
chr11:89400624-134432265,0.23004332117909998
chr16:14956177-14988855,0.22408235188674536
chr23:3229-45135,0.20558743604563343
chr17:42161364-42873571,0.20210050379049554
chr20:8747-12478772,0.1930617360257996
chr15:18657388-18683110,0.1926274317620989
chr15:53166-592121,0.18732930197373185
chr15:32523241-32594902,0.18353227128732488
chr1:120313797-120737345,0.18157919242675086
chr14:105602756-105630089,0.1772216138755243
chr22:37717564-49509094,0.17700218757635872
chr22:37683612-37705310,0.17497648080235706
chr17:35444422-40926154,0.1687831200815502
chr6:92035339-170943103,0.16821816058433509
chr1:199087690-199111062,0.1660064667713029
chr17:77535412-78653545,0.16238355387137618
chr17:77442683-77503685,0.1573723072675079
chr15:22163893-32511475,0.14895317115099999
chr17:41983407-42049540,0.14698424930932402
chr5:69274433-96603723,0.1464228928355999
chr3:193476462-196656506,0.1439029080255071
chr6:32766023-91964331,0.14356379350833162
chr16:68710277-68751390,0.14325808477683427
chr16:54390012-68679377,0.13963580535085052
chr7:143321677-143391065,0.13009820086940238
chr9:110114139-138397892,0.127349770429942
chr1:149369522-149394958,0.12542933159071362
chr20:29306447-40052114,0.12348459374030973
chr23:96116-214107,0.12282663231646886
chr3:196908262-196937230,0.12221721443836539
chr19:20422576-20493401,0.12200654477111884
chr20:40075620-62379059,0.12173612168675244
chr18:4316-76110964,0.11984719036479034
chr8:35694285-39333915,0.10851750013922855
chr16:45058242-54336421,0.10188257866565835
chr17:403833-446414,0.10119992207361027
chr1:72489681-72620747,0.09990417568924825
chr8:28208003-35676140,0.09464027804414418
chr16:28087-14817706,0.0938868433264195
chr21:13334960-13435755,0.090416446810347
chr1:16551324-16997273,0.09015050412514
chr1:145820605-146634734,0.0872252102731869
chr1:17030134-22668805,0.08699787716899783
chr17:35286565-35427554,0.08674171351133986
chr15:739595-18454050,0.08181905172584877
chr6:30021894-32519935,0.08107697399441857
chr11:5777496-7757329,0.07967239452322374
chr21:14294323-14314039,0.07948201438503219
chr19:8246-232080,0.07676031010836828
chr17:10999-390571,0.07280887268727501
chr22:15433500-22665928,0.07233433683104443
chr17:1890246-2286311,0.071343542096979
chr17:2361350-18868037,0.06980590425010695
chr14:105654998-105839439,0.06825015093998917
chr8:8148437-12448374,0.06705932295485312
chr5:49619946-68850823,0.06568865532448528
chr3:164112881-193467200,0.06367094570727508
chr3:95043863-126884366,0.06308320917953028
chr3:196947293-199383479,0.06257287661116476
chr2:132974227-231853847,0.060927048006715584
chr17:1542118-1560766,0.06043142016688671
chr7:141965869-141978333,0.059859514426466386
chr15:20307869-21982746,0.059629044201325504
chr16:15039224-33875313,0.059425259711920565
chr17:22315936-22324326,0.059289818634709335
chr22:24263116-37678070,0.0578182172836701
chr6:1535319-30010234,0.05779237094994755
chr21:9896630-10198129,0.05753525326751593
chr6:204528-634345,0.05554873447368115
chr14:22022060-73047267,0.054407176701270404
chr1:3149648-3157982,0.05435685347635305
chr15:18722595-20060061,0.05233723330920098
chr23:1672003-1706462,0.051898183620334756
