run_id,outter_seed,outter_fold,C,l1_ratio,top_k,mean_inner_accuracy,std_inner_accuracy
3,3,1,0.01,0.1,5,0.6,0.10897247358851683
3,3,1,0.01,0.1,10,0.5875,0.1159202311936963
3,3,1,0.01,0.1,20,0.575,0.1551209205748857
3,3,1,0.01,0.1,50,0.525,0.16105123408406408
3,3,1,0.01,0.3,5,0.3375,0.06373774391990981
3,3,1,0.01,0.3,10,0.3375,0.08477912478906585
3,3,1,0.01,0.3,20,0.325,0.1
3,3,1,0.01,0.3,50,0.5625,0.16770509831248423
3,3,1,0.01,0.5,5,0.3375,0.06373774391990981
3,3,1,0.01,0.5,10,0.3375,0.08477912478906585
3,3,1,0.01,0.5,20,0.325,0.1
3,3,1,0.01,0.5,50,0.5625,0.16770509831248423
3,3,1,0.01,0.7,5,0.3375,0.06373774391990981
3,3,1,0.01,0.7,10,0.3375,0.08477912478906585
3,3,1,0.01,0.7,20,0.325,0.1
3,3,1,0.01,0.7,50,0.5625,0.16770509831248423
3,3,1,0.01,0.9,5,0.3375,0.06373774391990981
3,3,1,0.01,0.9,10,0.3375,0.08477912478906585
3,3,1,0.01,0.9,20,0.325,0.1
3,3,1,0.01,0.9,50,0.5625,0.16770509831248423
3,3,1,0.1,0.1,5,0.6875,0.08838834764831845
3,3,1,0.1,0.1,10,0.7,0.09185586535436918
3,3,1,0.1,0.1,20,0.7125,0.06373774391990981
3,3,1,0.1,0.1,50,0.65,0.1015504800579495
3,3,1,0.1,0.3,5,0.6625,0.0637377439199098
3,3,1,0.1,0.3,10,0.6875,0.07905694150420949
3,3,1,0.1,0.3,20,0.75,0.07905694150420949
3,3,1,0.1,0.3,50,0.6875,0.11180339887498948
3,3,1,0.1,0.5,5,0.6625,0.05
3,3,1,0.1,0.5,10,0.675,0.12119199643540822
3,3,1,0.1,0.5,20,0.6875,0.10458250331675945
3,3,1,0.1,0.5,50,0.7,0.09185586535436918
3,3,1,0.1,0.7,5,0.65,0.03061862178478973
3,3,1,0.1,0.7,10,0.7125,0.049999999999999996
3,3,1,0.1,0.7,20,0.6875,0.10458250331675945
3,3,1,0.1,0.7,50,0.675,0.07288689868556625
3,3,1,0.1,0.9,5,0.7,0.04677071733467427
3,3,1,0.1,0.9,10,0.7,0.09185586535436917
3,3,1,0.1,0.9,20,0.7,0.1334634781503914
3,3,1,0.1,0.9,50,0.65,0.1015504800579495
3,3,1,1.0,0.1,5,0.6375,0.16488632447841148
3,3,1,1.0,0.1,10,0.6125,0.09185586535436918
3,3,1,1.0,0.1,20,0.7375,0.07288689868556626
3,3,1,1.0,0.1,50,0.7375,0.12119199643540823
3,3,1,1.0,0.3,5,0.6875,0.06846531968814576
3,3,1,1.0,0.3,10,0.7375,0.1
3,3,1,1.0,0.3,20,0.7375,0.09999999999999999
3,3,1,1.0,0.3,50,0.7,0.10752906583803283
3,3,1,1.0,0.5,5,0.7,0.09999999999999999
3,3,1,1.0,0.5,10,0.7625,0.04677071733467427
3,3,1,1.0,0.5,20,0.7,0.046770717334674264
3,3,1,1.0,0.5,50,0.7,0.09185586535436918
3,3,1,1.0,0.7,5,0.7,0.06123724356957946
3,3,1,1.0,0.7,10,0.75,0.05590169943749474
