,HER2+,HR+,Triple Neg,importance
chr17:35076296-35282086,1.2114810422120572,-0.15423009726461126,-0.08016961472582414,1.4458807542024927
chr5:96637773-180644810,0.0,0.18967125807084378,-0.1573919707580844,0.34706322882892815
chr16:68838368-69397102,0.0,-0.07715380104952409,0.23279480112590373,0.3099486021754278
chr17:41011530-41494331,-0.24720955536204892,0.0,0.0,0.24720955536204892
chr12:67337260-132389367,0.0,0.0979774622009064,-0.13736000990667072,0.2353374721075771
chr15:18657388-18683110,0.0,0.0,-0.20078564999828455,0.20078564999828455
chr19:20422576-20493401,0.0,-0.09806230694540703,0.07603846712579301,0.17410077407120006
chr6:32766023-91964331,0.0,-0.17408672252604276,0.0,0.17408672252604276
chr11:89400624-134432265,0.0,-0.15465115962811332,0.018654644619046968,0.1733058042471603
chr17:42161364-42873571,-0.12719532421605848,0.0,0.0,0.12719532421605848
