feature,importance
chr17:35076296-35282086,2.6120980905498596
chr22:37683612-37705310,0.8625188693894703
chr23:3229-45135,0.8149724275682169
chr17:41011530-41494331,0.8016569915421784
chr16:68838368-69397102,0.8002326106616773
chr17:42161364-42873571,0.7889024077461866
chr18:4316-76110964,0.7696853184437696
chr1:199087690-199111062,0.7147177511144036
chr23:1672003-1706462,0.6178136628708539
chr16:28087-14817706,0.5959488725365341
chr1:17030134-22668805,0.5919823584293361
chr12:67337260-132389367,0.5896308022221888
chr11:5742476-5762182,0.5837573704913264
chr15:22163893-32511475,0.5481676639288356
chr3:196908262-196937230,0.5437378910038522
chr12:36739877-67332062,0.5392786399959391
chr6:32732764-32738443,0.5323552515335297
chr16:68710277-68751390,0.5306018896733284
chr1:149369522-149394958,0.5161051048861669
chr6:92035339-170943103,0.5050030641232408
chr6:32766023-91964331,0.5022206693395809
chr3:75546791-75799957,0.474426195372138
chr8:63810-90816,0.4675004108612929
chr14:105602756-105630089,0.4672977440834255
chr20:29306447-40052114,0.4595954617808745
chr1:16551324-16997273,0.4579692142081597
chr17:77535412-78653545,0.4274161422395989
chr15:18657388-18683110,0.41702844934160804
chr14:22022060-73047267,0.41275347162788256
chr17:35444422-40926154,0.4099126175752795
chr15:53166-592121,0.4077477153818405
chr17:35286565-35427554,0.39240183291294767
chr15:32523241-32594902,0.39057313209186356
chr15:18722595-20060061,0.3767448087488017
chr11:89400624-134432265,0.376037384775669
chr7:143321677-143391065,0.36971872423548363
chr20:8747-12478772,0.36747003411314194
chr5:763494-878290,0.3581617785222553
chr15:739595-18454050,0.34349200570187727
chr13:5179-123882,0.34216870960594925
chr17:77442683-77503685,0.34117982612781383
chr20:40075620-62379059,0.33649734154199284
chr2:131945577-132196569,0.32549282870595897
chr5:69274433-96603723,0.3219087424745186
chr8:28208003-35676140,0.3204951418267412
chr19:232836-236846,0.31328421912299775
chr23:92209094-152935130,0.3035626184102246
chr17:403833-446414,0.30199060114867166
chr5:96637773-180644810,0.296087280882795
chr21:9896630-10198129,0.29188888508466065
chr2:91057159-91321476,0.2917221934341643
chr16:15039224-33875313,0.2802612908230413
chr4:70334625-74719357,0.27971364959693945
chr10:115544-38563575,0.27932612340706336
chr6:30021894-32519935,0.27756335245754493
chr6:1535319-30010234,0.2769220439865047
chr17:41983407-42049540,0.2714126038399596
chr17:1859252-1859812,0.27070410462210887
chr6:5839-154410,0.26813388610777544
chr14:73071404-73092018,0.26437224355409505
chr23:91234699-91344716,0.2642063746324542
chr6:32586131-32600962,0.2591836688536905
chr8:166452-6907624,0.24715098300334154
chr16:45058242-54336421,0.24330814123912378
chr23:152994680-154492924,0.23736826323235877
chr19:20422576-20493401,0.23682375750205625
chr8:39356595-39505256,0.23504907145316795
chr1:193480150-193527058,0.23381943581115666
chr16:14956177-14988855,0.2281886532341993
chr19:3363749-20383210,0.2275977728804512
chr1:244693374-245014643,0.22709956784393964
chr3:163997236-164023510,0.22460235286029342
chr19:8246-232080,0.22409663816088116
chr11:70562838-89296560,0.22368715808797138
chr1:3149648-3157982,0.22270889217125764
chr1:2903052-3112977,0.21175261406365553
chr22:22725750-24228038,0.20409571058355797
chr2:132210961-132323628,0.20084990494591864
chr4:69215734-69311985,0.18933133492519644
chr1:3166706-16531740,0.18463671954784786
chr6:32605300-32629848,0.18423410751099648
