param_clf__shrink_threshold,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
,0.001,0.1,5,0.42000000000000004,0.06944222218666554,769,0.3666666666666667,0.48333333333333334,0.4,0.3333333333333333,0.5166666666666667,0.0035125732421875,0.00150604248046875
,0.001,0.1,10,0.5066666666666666,0.08666666666666667,641,0.6166666666666667,0.5833333333333334,0.4,0.4166666666666667,0.5166666666666667,0.003276824951171875,0.0014533519744873047
,0.001,0.1,20,0.53,0.07102425250887504,561,0.4666666666666667,0.6666666666666666,0.48333333333333334,0.5166666666666667,0.5166666666666667,0.004030847549438476,0.001699352264404297
,0.001,0.1,50,0.53,0.17107503227141788,561,0.35,0.8166666666666667,0.5166666666666667,0.3666666666666667,0.6,0.0034540653228759765,0.0014930248260498046
,0.001,0.3,5,0.42000000000000004,0.06944222218666554,769,0.3666666666666667,0.48333333333333334,0.4,0.3333333333333333,0.5166666666666667,0.0033417701721191405,0.001449728012084961
,0.001,0.3,10,0.5066666666666666,0.08666666666666667,641,0.6166666666666667,0.5833333333333334,0.4,0.4166666666666667,0.5166666666666667,0.0034316539764404296,0.0015892505645751954
,0.001,0.3,20,0.53,0.07102425250887504,561,0.4666666666666667,0.6666666666666666,0.48333333333333334,0.5166666666666667,0.5166666666666667,0.0034206867218017577,0.0015209674835205077
,0.001,0.3,50,0.53,0.17107503227141788,561,0.35,0.8166666666666667,0.5166666666666667,0.3666666666666667,0.6,0.0034447193145751955,0.001505136489868164
,0.001,0.5,5,0.42000000000000004,0.06944222218666554,769,0.3666666666666667,0.48333333333333334,0.4,0.3333333333333333,0.5166666666666667,0.0033835887908935545,0.0014736175537109375
,0.001,0.5,10,0.5066666666666666,0.08666666666666667,641,0.6166666666666667,0.5833333333333334,0.4,0.4166666666666667,0.5166666666666667,0.0034631729125976563,0.0015078067779541015
,0.001,0.5,20,0.53,0.07102425250887504,561,0.4666666666666667,0.6666666666666666,0.48333333333333334,0.5166666666666667,0.5166666666666667,0.0034170627593994142,0.0014884471893310547
,0.001,0.5,50,0.53,0.17107503227141788,561,0.35,0.8166666666666667,0.5166666666666667,0.3666666666666667,0.6,0.0033806324005126952,0.0014822959899902343
,0.001,0.7,5,0.42000000000000004,0.06944222218666554,769,0.3666666666666667,0.48333333333333334,0.4,0.3333333333333333,0.5166666666666667,0.0034342288970947267,0.0015089035034179688
,0.001,0.7,10,0.5066666666666666,0.08666666666666667,641,0.6166666666666667,0.5833333333333334,0.4,0.4166666666666667,0.5166666666666667,0.003485441207885742,0.0015076160430908202
