param_clf__shrink_threshold,param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
,5,0.7366666666666666,0.1212893693244017,29,0.75,0.5333333333333333,0.8,0.9,0.7,0.12256593704223633,0.0014983654022216798
,10,0.85,0.10954451150103323,1,0.75,0.9,0.7,1.0,0.9,0.12187685966491699,0.001490306854248047
,15,0.85,0.09888264649460886,1,0.8333333333333333,0.8166666666666667,0.7,1.0,0.9,0.12188940048217774,0.001501750946044922
,20,0.8300000000000001,0.07774602526460404,6,0.8333333333333333,0.9,0.8,0.9166666666666667,0.7,0.12153024673461914,0.0014942169189453125
,30,0.7733333333333332,0.06018490028422596,16,0.8333333333333333,0.7,0.8166666666666667,0.8166666666666667,0.7,0.12222180366516114,0.0015207290649414062
,50,0.7699999999999999,0.05715476066494084,17,0.8166666666666667,0.7,0.8166666666666667,0.8166666666666667,0.7,0.12500200271606446,0.0015249252319335938
,75,0.7499999999999999,0.08755950357709133,26,0.8166666666666667,0.7,0.8166666666666667,0.8166666666666667,0.6,0.12561426162719727,0.0015179634094238282
,100,0.7533333333333334,0.10718623460542355,20,0.7333333333333334,0.7,0.8166666666666667,0.9166666666666667,0.6,0.12567510604858398,0.0015098094940185548
0.1,5,0.7366666666666666,0.1212893693244017,29,0.75,0.5333333333333333,0.8,0.9,0.7,0.12062716484069824,0.0014623641967773438
0.1,10,0.85,0.10954451150103323,1,0.75,0.9,0.7,1.0,0.9,0.12096366882324219,0.001484251022338867
0.1,15,0.85,0.09888264649460886,1,0.8333333333333333,0.8166666666666667,0.7,1.0,0.9,0.12166953086853027,0.0014885425567626952
0.1,20,0.8300000000000001,0.07774602526460404,6,0.8333333333333333,0.9,0.8,0.9166666666666667,0.7,0.12066817283630371,0.0014968395233154296
0.1,30,0.7933333333333333,0.04784233364802441,13,0.8333333333333333,0.8,0.8166666666666667,0.8166666666666667,0.7,0.12050724029541016,0.0014716148376464843
0.1,50,0.7533333333333333,0.053124591501697425,23,0.7333333333333334,0.7,0.8166666666666667,0.8166666666666667,0.7,0.1209303855895996,0.0014797210693359374
0.1,75,0.7499999999999999,0.08755950357709133,26,0.8166666666666667,0.7,0.8166666666666667,0.8166666666666667,0.6,0.12138347625732422,0.0014853954315185546
0.1,100,0.7533333333333334,0.10718623460542355,20,0.7333333333333334,0.7,0.8166666666666667,0.9166666666666667,0.6,0.12204394340515137,0.001576852798461914
0.2,5,0.7366666666666666,0.1212893693244017,29,0.75,0.5333333333333333,0.8,0.9,0.7,0.12207250595092774,0.0015003681182861328
0.2,10,0.85,0.10954451150103323,1,0.75,0.9,0.7,1.0,0.9,0.1217341423034668,0.001510953903198242
0.2,15,0.8299999999999998,0.07333333333333335,9,0.8333333333333333,0.8166666666666667,0.7,0.9,0.9,0.12107419967651367,0.001491212844848633
0.2,20,0.8300000000000001,0.07774602526460404,6,0.8333333333333333,0.9,0.8,0.9166666666666667,0.7,0.12117066383361816,0.0014777660369873046
0.2,30,0.7933333333333333,0.04784233364802441,13,0.8333333333333333,0.8,0.8166666666666667,0.8166666666666667,0.7,0.1199906349182129,0.0014806270599365234
0.2,50,0.7533333333333333,0.053124591501697425,23,0.7333333333333334,0.7,0.8166666666666667,0.8166666666666667,0.7,0.12020058631896972,0.0014673233032226562
0.2,75,0.7499999999999999,0.08755950357709133,26,0.8166666666666667,0.7,0.8166666666666667,0.8166666666666667,0.6,0.12010297775268555,0.0014722347259521484
0.2,100,0.7533333333333334,0.10718623460542355,20,0.7333333333333334,0.7,0.8166666666666667,0.9166666666666667,0.6,0.12059111595153808,0.0014896869659423828
0.5,5,0.7166666666666666,0.09888264649460886,32,0.75,0.5333333333333333,0.8,0.8,0.7,0.12124648094177246,0.0014962196350097657
0.5,10,0.8299999999999998,0.0871779788708135,9,0.75,0.9,0.7,0.9,0.9,0.1209031105041504,0.0014856815338134765
0.5,15,0.8299999999999998,0.07333333333333335,9,0.8333333333333333,0.8166666666666667,0.7,0.9,0.9,0.12076292037963868,0.0014797210693359374
0.5,20,0.8266666666666668,0.11623730516108464,12,0.8333333333333333,0.9,0.7,1.0,0.7,0.12109804153442383,0.001496744155883789
0.5,30,0.7933333333333333,0.04784233364802441,13,0.8333333333333333,0.8,0.8166666666666667,0.8166666666666667,0.7,0.12142472267150879,0.0015728473663330078
0.5,50,0.7533333333333333,0.053124591501697425,23,0.7333333333333334,0.7,0.8166666666666667,0.8166666666666667,0.7,0.1215484619140625,0.001493215560913086
0.5,75,0.7699999999999999,0.05715476066494084,17,0.8166666666666667,0.7,0.8166666666666667,0.8166666666666667,0.7,0.1218724250793457,0.001509237289428711
0.5,100,0.7699999999999999,0.05715476066494084,17,0.8166666666666667,0.7,0.8166666666666667,0.8166666666666667,0.7,0.1209639072418213,0.0014803409576416016
