param_clf__shrink_threshold,param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
,5,0.6899999999999998,0.11999999999999997,4,0.8333333333333333,0.6,0.6333333333333333,0.8333333333333333,0.55,0.12643260955810548,0.0016074657440185546
,10,0.6866666666666668,0.10295630140986997,8,0.7166666666666667,0.6166666666666667,0.7333333333333334,0.8333333333333333,0.5333333333333333,0.12539467811584473,0.001665782928466797
,15,0.65,0.07226494462892934,13,0.7166666666666667,0.6166666666666667,0.7333333333333334,0.65,0.5333333333333333,0.12419886589050293,0.0015658855438232422
,20,0.6666666666666666,0.07601169500660919,10,0.6166666666666667,0.6166666666666667,0.8166666666666667,0.65,0.6333333333333333,0.12494897842407227,0.0015424728393554688
,30,0.5766666666666667,0.12046207333061767,30,0.5333333333333333,0.6166666666666667,0.7166666666666667,0.65,0.3666666666666667,0.12450976371765136,0.0015525341033935547
,50,0.6266666666666667,0.05830951894845301,20,0.6166666666666667,0.5333333333333333,0.7166666666666667,0.6333333333333333,0.6333333333333333,0.12483034133911133,0.0015491962432861329
,75,0.6166666666666667,0.07601169500660923,22,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.7333333333333334,0.65,0.12494516372680664,0.0015587329864501954
,100,0.6133333333333333,0.04136557881996953,25,0.5333333333333333,0.6166666666666667,0.6333333333333333,0.6333333333333333,0.65,0.12562146186828613,0.001669454574584961
0.1,5,0.6899999999999998,0.11999999999999997,4,0.8333333333333333,0.6,0.6333333333333333,0.8333333333333333,0.55,0.12542967796325682,0.0015614986419677734
0.1,10,0.7033333333333334,0.08124038404635957,1,0.7166666666666667,0.6166666666666667,0.7333333333333334,0.8333333333333333,0.6166666666666667,0.12637948989868164,0.0015567779541015626
0.1,15,0.65,0.07226494462892934,13,0.7166666666666667,0.6166666666666667,0.7333333333333334,0.65,0.5333333333333333,0.12463650703430176,0.001647806167602539
0.1,20,0.6666666666666666,0.07601169500660919,10,0.6166666666666667,0.6166666666666667,0.8166666666666667,0.65,0.6333333333333333,0.12531962394714355,0.0015771865844726562
0.1,30,0.5766666666666667,0.12046207333061767,30,0.5333333333333333,0.6166666666666667,0.7166666666666667,0.65,0.3666666666666667,0.12589654922485352,0.0016522407531738281
0.1,50,0.6266666666666667,0.05830951894845301,20,0.6166666666666667,0.5333333333333333,0.7166666666666667,0.6333333333333333,0.6333333333333333,0.12611074447631837,0.001567506790161133
0.1,75,0.6166666666666667,0.07601169500660923,22,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.7333333333333334,0.65,0.12528643608093262,0.0015935897827148438
0.1,100,0.6133333333333333,0.04136557881996953,25,0.5333333333333333,0.6166666666666667,0.6333333333333333,0.6333333333333333,0.65,0.1252440929412842,0.001590394973754883
0.2,5,0.6899999999999998,0.11999999999999997,4,0.8333333333333333,0.6,0.6333333333333333,0.8333333333333333,0.55,0.1252828598022461,0.0016304969787597657
0.2,10,0.7033333333333334,0.08124038404635957,1,0.7166666666666667,0.6166666666666667,0.7333333333333334,0.8333333333333333,0.6166666666666667,0.1258706569671631,0.0016640186309814452
0.2,15,0.6333333333333333,0.08628119403696526,16,0.7166666666666667,0.5333333333333333,0.7333333333333334,0.65,0.5333333333333333,0.12537779808044433,0.001566600799560547
0.2,20,0.6866666666666668,0.07333333333333332,8,0.7166666666666667,0.6166666666666667,0.8166666666666667,0.65,0.6333333333333333,0.1253899574279785,0.00156097412109375
0.2,30,0.5766666666666667,0.12046207333061767,30,0.5333333333333333,0.6166666666666667,0.7166666666666667,0.65,0.3666666666666667,0.12476563453674316,0.001570415496826172
0.2,50,0.65,0.0674948557710553,13,0.7166666666666667,0.5333333333333333,0.7166666666666667,0.65,0.6333333333333333,0.12537856101989747,0.0016326904296875
0.2,75,0.6166666666666667,0.07601169500660923,22,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.7333333333333334,0.65,0.1252680778503418,0.0015590667724609375
0.2,100,0.6333333333333333,0.06411794687223783,16,0.5333333333333333,0.6166666666666667,0.6333333333333333,0.7333333333333334,0.65,0.12463726997375488,0.0015640735626220703
0.5,5,0.6899999999999998,0.11999999999999997,4,0.8333333333333333,0.6,0.6333333333333333,0.8333333333333333,0.55,0.12579164505004883,0.0016755104064941407
0.5,10,0.7033333333333334,0.08124038404635957,1,0.7166666666666667,0.6166666666666667,0.7333333333333334,0.8333333333333333,0.6166666666666667,0.12552475929260254,0.0016344070434570312
0.5,15,0.6333333333333333,0.08628119403696526,16,0.7166666666666667,0.5333333333333333,0.7333333333333334,0.65,0.5333333333333333,0.12529654502868653,0.0015630245208740235
0.5,20,0.6533333333333334,0.06271629240742262,12,0.7166666666666667,0.6166666666666667,0.7333333333333334,0.5666666666666667,0.6333333333333333,0.12531828880310059,0.001552581787109375
0.5,30,0.5966666666666667,0.14734690736866896,27,0.5333333333333333,0.6166666666666667,0.8166666666666667,0.65,0.3666666666666667,0.12550411224365235,0.0015566349029541016
0.5,50,0.63,0.08259674462242579,19,0.7166666666666667,0.5333333333333333,0.7166666666666667,0.65,0.5333333333333333,0.12498631477355956,0.0015605926513671876
0.5,75,0.5800000000000001,0.05099019513592784,29,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.65,0.55,0.1254899501800537,0.0015787124633789063
0.5,100,0.5966666666666667,0.05206833117271103,27,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.65,0.6333333333333333,0.12528581619262696,0.001571989059448242
