param_clf__C,param_clf__l1_ratio,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.001,0.1,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002384376525878906,0.0011609554290771484
0.001,0.3,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0023680686950683593,0.0011684417724609375
0.001,0.5,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002378702163696289,0.0011603355407714844
0.001,0.7,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0023172855377197265,0.0011686325073242188
0.001,0.9,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0023233890533447266,0.0011907577514648437
0.00359381,0.1,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0024070262908935545,0.001177501678466797
0.00359381,0.3,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002310371398925781,0.001172351837158203
0.00359381,0.5,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0023955821990966795,0.0011630535125732421
0.00359381,0.7,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002351999282836914,0.0011668205261230469
0.00359381,0.9,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002417135238647461,0.001159334182739258
0.0129155,0.1,0.5933333333333334,0.11527744310527052,33,0.55,0.8166666666666667,0.5166666666666667,0.5833333333333334,0.5,0.007739496231079101,0.0011879444122314454
0.0129155,0.3,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0026693820953369142,0.0011669158935546874
0.0129155,0.5,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0023856163024902344,0.001175069808959961
0.0129155,0.7,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.00235748291015625,0.001176738739013672
0.0129155,0.9,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002320384979248047,0.001171255111694336
0.0464159,0.1,0.7766666666666666,0.10306416555826871,1,0.7333333333333334,0.8333333333333333,0.6,0.8166666666666667,0.9,0.01551666259765625,0.0011918067932128907
0.0464159,0.3,0.6966666666666667,0.1007747763855398,31,0.65,0.8333333333333333,0.6166666666666667,0.5833333333333334,0.8,0.016184473037719728,0.0011920928955078125
0.0464159,0.5,0.5,0.12649110640673517,34,0.5,0.5,0.7,0.5,0.3,0.008552646636962891,0.0011754512786865234
0.0464159,0.7,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0028000831604003905,0.001171875
0.0464159,0.9,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0027384281158447264,0.0011869907379150391
0.16681,0.1,0.7566666666666666,0.08537498983243798,5,0.7333333333333334,0.8333333333333333,0.6,0.8166666666666667,0.8,0.03474416732788086,0.0012167930603027345
0.16681,0.3,0.74,0.07999999999999999,15,0.7333333333333334,0.8333333333333333,0.6,0.7333333333333334,0.8,0.04087629318237305,0.0012527942657470704
0.16681,0.5,0.7066666666666667,0.06716480559869958,29,0.65,0.8333333333333333,0.7,0.65,0.7,0.04479913711547852,0.0012828826904296875
0.16681,0.7,0.71,0.05333333333333336,28,0.65,0.7333333333333334,0.7,0.6666666666666666,0.8,0.04801197052001953,0.0012177467346191407
0.16681,0.9,0.6899999999999998,0.029059326290271168,32,0.65,0.7333333333333334,0.7,0.6666666666666666,0.7,0.057923412322998045,0.0012482166290283202
0.599484,0.1,0.7566666666666666,0.08537498983243798,5,0.7333333333333334,0.8333333333333333,0.6,0.8166666666666667,0.8,0.07640395164489747,0.0013042449951171874
0.599484,0.3,0.7166666666666668,0.06992058987801011,26,0.7333333333333334,0.7333333333333334,0.6,0.8166666666666667,0.7,0.09398040771484376,0.0012639999389648438
0.599484,0.5,0.7566666666666666,0.04422166387140534,5,0.7333333333333334,0.7333333333333334,0.7,0.8166666666666667,0.8,0.11422810554504395,0.0013628005981445312
0.599484,0.7,0.72,0.07483314773547882,24,0.7333333333333334,0.8333333333333333,0.6,0.7333333333333334,0.7,0.14156064987182618,0.001331186294555664
0.599484,0.9,0.74,0.07118052168020873,15,0.6333333333333333,0.8333333333333333,0.8,0.7333333333333334,0.7,0.1633786678314209,0.001360464096069336
2.15443,0.1,0.7733333333333332,0.1046687897873839,2,0.7333333333333334,0.9166666666666667,0.6,0.8166666666666667,0.8,0.13926796913146972,0.0013389110565185547
2.15443,0.3,0.7366666666666667,0.042687494916218996,19,0.7333333333333334,0.7333333333333334,0.7,0.8166666666666667,0.7,0.19619531631469728,0.001372051239013672
2.15443,0.5,0.74,0.07039570693980958,15,0.7333333333333334,0.7333333333333334,0.6166666666666667,0.8166666666666667,0.8,0.24082579612731933,0.0014071941375732421
2.15443,0.7,0.7200000000000001,0.06446359868604572,23,0.7333333333333334,0.7333333333333334,0.6166666666666667,0.8166666666666667,0.7,0.2889068603515625,0.001432180404663086
2.15443,0.9,0.72,0.054160256030906434,24,0.6333333333333333,0.7333333333333334,0.7,0.7333333333333334,0.8,0.36573967933654783,0.0014489173889160156
7.74264,0.1,0.7733333333333332,0.1046687897873839,2,0.7333333333333334,0.9166666666666667,0.6,0.8166666666666667,0.8,0.16508779525756836,0.001346921920776367
7.74264,0.3,0.7366666666666667,0.07630348761506399,19,0.7333333333333334,0.7333333333333334,0.6,0.8166666666666667,0.8,0.26998143196105956,0.0014060020446777343
7.74264,0.5,0.7366666666666667,0.042687494916218996,19,0.7333333333333334,0.7333333333333334,0.7,0.8166666666666667,0.7,0.3439781188964844,0.0014380455017089845
7.74264,0.7,0.74,0.07039570693980958,15,0.7333333333333334,0.7333333333333334,0.6166666666666667,0.8166666666666667,0.8,0.4233567237854004,0.0016979217529296876
7.74264,0.9,0.7033333333333334,0.06863753427324669,30,0.7333333333333334,0.7333333333333334,0.6166666666666667,0.6333333333333333,0.8,0.4756340503692627,0.0014691352844238281
27.8256,0.1,0.7533333333333333,0.05312459150169743,8,0.7333333333333334,0.8166666666666667,0.7,0.8166666666666667,0.7,0.19621586799621582,0.0013737678527832031
27.8256,0.3,0.7533333333333333,0.08259674462242578,8,0.7333333333333334,0.8166666666666667,0.6,0.8166666666666667,0.8,0.24093384742736818,0.0014058589935302735
27.8256,0.5,0.7533333333333333,0.08259674462242578,8,0.7333333333333334,0.8166666666666667,0.6,0.8166666666666667,0.8,0.30367231369018555,0.0014195442199707031
27.8256,0.7,0.7366666666666667,0.07630348761506399,19,0.7333333333333334,0.7333333333333334,0.6,0.8166666666666667,0.8,0.3641208648681641,0.0014356613159179688
27.8256,0.9,0.7166666666666668,0.06992058987801011,26,0.7333333333333334,0.7333333333333334,0.6,0.8166666666666667,0.7,0.41660447120666505,0.0015226840972900391
100.0,0.1,0.7533333333333333,0.05312459150169743,8,0.7333333333333334,0.8166666666666667,0.7,0.8166666666666667,0.7,0.22503280639648438,0.001420736312866211
100.0,0.3,0.7533333333333333,0.05312459150169743,8,0.7333333333333334,0.8166666666666667,0.7,0.8166666666666667,0.7,0.2399448871612549,0.0014249801635742188
100.0,0.5,0.7533333333333333,0.05312459150169743,8,0.7333333333333334,0.8166666666666667,0.7,0.8166666666666667,0.7,0.2499143123626709,0.001435565948486328
100.0,0.7,0.7533333333333333,0.05312459150169743,8,0.7333333333333334,0.8166666666666667,0.7,0.8166666666666667,0.7,0.26422572135925293,0.0014322280883789062
100.0,0.9,0.7733333333333332,0.04784233364802441,2,0.7333333333333334,0.8166666666666667,0.7,0.8166666666666667,0.8,0.2819089889526367,0.001453733444213867
