,HER2+,HR+,Triple Neg,importance
chr17:35076296-35282086,1.0421117119916663,-0.331374889326788,-0.2915468304432045,1.6650334317616589
chr16:68838368-69397102,0.0,-0.15169727451702458,0.2621439221104854,0.41384119662750996
chr12:36739877-67332062,0.0,0.23378357768975744,-0.16238286065103993,0.39616643834079734
chr17:41011530-41494331,-0.31371132493355397,0.0,0.0,0.31371132493355397
chr12:67337260-132389367,0.0,0.08527829186445647,-0.18324310881392844,0.2685214006783849
chr17:42161364-42873571,-0.220805471390363,0.0,0.0,0.220805471390363
chr15:22163893-32511475,0.0,0.12508428105421432,-0.09064913322982344,0.21573341428403775
chr6:32732764-32738443,0.0,-0.06665739465517846,0.1432304024899854,0.20988779714516387
chr11:89400624-134432265,0.0,-0.1599880831971434,0.021581382730717157,0.18156946592786055
chr15:18657388-18683110,0.0,0.0017262052602204172,-0.17852690908897004,0.18025311434919045
chr5:96637773-180644810,0.0,0.10697577766890444,-0.059425430612053756,0.1664012082809582
chr16:28087-14817706,0.0,0.16445610321728785,0.0,0.16445610321728785
chr6:32766023-91964331,0.0,-0.15452988884831126,0.008983502673038756,0.16351339152135003
chr15:32523241-32594902,0.0,0.0,-0.1632674458744881,0.1632674458744881
chr1:149369522-149394958,0.0,0.0,-0.15055994157494393,0.15055994157494393
chr5:69274433-96603723,0.0,0.14410947526583182,0.0,0.14410947526583182
chr6:92035339-170943103,0.0013088806793726641,-0.14248296070004143,0.0,0.1437918413794141
chr3:196908262-196937230,-0.020938815257306117,0.0,0.11267250379302834,0.13361131905033446
chr22:37683612-37705310,0.0,-0.11462991024223672,0.0,0.11462991024223672
chr15:739595-18454050,0.0,0.0,-0.11306182980536236,0.11306182980536236
